name,street,city,zip,email,description,url,facilities,activities,
Elkhead Reservoir,P.O. Box 759 Moffat Co. Rd 28,Hayden,81639,yampa.river@state.co.us,"Surrounded by the rolling hills, farmland and sagebrush prairie of the beautiful Yampa Valley, Elkhead Reservoir is like an oasis in the high desert. As the only water recreation site in Moffat County, it offers 900 water acres for boating, water and jet skiing, as well as swimming at the seasonal swim beach or from boats in the no-wake areas. Anglers can try their luck for warm-water species including bass, northern pike, crappie and catfish. Numerous picnic sites offer shelters, grills and tables, or visitors can hike, bike or ride horses along short trails that follow the lakeshore to more remote spots. Hunting is allowed in designated areas around the reservoir in-season. Bear’s Ears campground has 15 basic sites available on a first-come basis. The campground does not have water, power or sewer. Birdwatchers have a good chance of seeing bald and golden eagles, osprey, and red-tailed, Swainson’s and rough-legged hawks. Water and shorebirds include buffleheads, goldeneyes, ruddy ducks, sandhill cranes and pelicans. Cliff swallows nest in colonies near the dam and greater sage-grouse are sometimes seen in the area. Winter recreation includes ice fishing, cross-country skiing and snowshoeing. Winter is also when large herds of elk gather in the sagebrush and stubblefields around the lake.",http://cpw.state.co.us/placestogo/Parks/elkheadreservoir,"basic campsites, boat ramp, picnic sites","biking, boating, crosscountry skiing/snowshoeing fishing, hiking, horseback trails, hunting, ice fishing, jet skiing, sail/paddle sports, swimming, water skiing, wildlife viewing",
Golden Gate Canyon,92 Crawford Gulch Road,Golden,80403,goldengatepark@state.co.us,"A mountain getaway close to the city. That’s what the 12,000 scenic acres of mountain, meadow and forest at Golden Gate Canyon offer visitors. Just 30 miles west of Denver, this park is a wonderful choice for a close-in high-country hike or weekend getaway. The 100-mile view of the Continental Divide from Panorama Point Scenic Overlook is worth the price of admission! More than 35 miles of trails offer experiences from casual to difficult. Mountain bikes and horses are allowed on multi-use trails. There’s hunting, rock climbing (permit required to place fixed hardware), campfire and kids’ programs, and six fishing ponds that are stocked regularly. Nature lovers will find endless chances for bird watching, wildlife viewing, plant identification or just enjoying the outdoors. With a choice of ways to spend the night in the park, there’s no need to end your visit early. There are two campgrounds, 20 first-come, first-serve backcountry campsites (no fires allowed), five cabins and two yurts open year-round. The 8 person Harmsen Ranch Guest House, Works Ranch Group Camping Area and Rifleman Phillips Campground offer options for family reunions or other group gatherings. Winter is a great time to see the park in a different light. Visitors can cross-country ski, snowshoe, sled, ice fish and ice skate. Families can search for that perfect tree during the annual Christmas Tree Cut.",http://cpw.state.co.us/placestogo/Parks/goldengatecanyon,"visitor center, basic campsites, cabins, campsites with electric, dump station, group campgrounds, group picnic area, picnic sites, primitive campsites, laundry, shower, yurts","biking, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting, ice fishing, ice skating, ranger/nature programs, rock climbing, snow tubing, wildlife viewing, winter camping",
Harvey Gap,5775 Highway 325,Rifle,81650,rifle.gap.park@state.co.us,"Fishing is the main draw at Harvey Gap, a day-use park six miles east of Rifle Gap State Park. Anglers will find top-notch fishing for rainbow trout and northern pike year-round, as well as catfish, large-and smallmouth bass, perch, muskie and crappie. Only nonmotorized craft and boats with motors of 20 horsepower or less are allowed. Situated at 6,400 feet amid piñon-juniper woodlands and sagebrush, the park offers a scenic place for a day in the outdoors. The dramatic Grand Hogback runs along the south end of the reservoir. Birdwatchers may spot a variety of migrating and resident birds, including songbirds and raptors in the vegetation around the reservoir, and waterfowl and shorebirds on and near the water. Mule deer are often seen, as well as rabbits, coyotes, raccoons, chipmunks and ground squirrels. There are numerous shady picnic sites beneath the cottonwoods along the water’s edge, and a swim beach along the south shore. To preserve Harvey Gap’s natural state, no camping or pets are permitted in the park. Visitors can camp at nearby Rifle Falls and Rifle Gap state parks. Waterfowl can be hunted on the north side of the reservoir in-season. Hunting dogs are allowed in the park only during hunting season and only in that area.",http://cpw.state.co.us/placestogo/Parks/harveygap,"picnic sites, boat ramp","boating, cross-country skiing/snowshoeing, fishing, hunting, ice fishing, ice skating, sail/paddle sports, snow tubing, swimming, wildlife/bird viewing",
Highline Lake,1800 11.8 Road,Loma,81524,highline.park@state.co.us,"Water, sunshine and fun make Highline Lake a mecca for water lovers in the Grand Valley. Jet and water skiers, paddle boarders, swimmers and boaters of all kinds can enjoy the warm waters. The lake is open to boating March 1 to September 30 and often reaches boat capacity on summer weekends, so arrive early. The swim beach is open May 1 to September 30. The lakes provide great warm-water fishing for largemouth bass, channel catfish and crappie and are stocked each spring and fall with rainbow trout. Bookcliff Campground, open year-round, offers 31 sites accommodating both tents and RVs. Reservations are highly recommended. The retail store sells books, fishing bait, ice, firewood and will soon offer some camping supplies. For a quieter day, the much smaller Mack Mesa Lake offers bird watching, fishing and boating for hand-propelled and electric craft. The Highline Lake Trail is a 3.5 mile loop with many out-and-back legs providing over 9 miles of trails for hiking, mountain biking and good wildlife watching opportunities. There are numerous regional trails within minutes of the park. Thousands of birds migrate through in spring and fall and the National Audubon Society has designated the park an Important Bird Area. Birdwatchers will find more than 200 species, including bald and golden eagles, herons, pelicans, egrets, cranes and a variety of other birds. In hunting season, seven blinds are open to waterfowl hunters Monday through Friday",http://cpw.state.co.us/placestogo/Parks/highlinelake,"visitor center, basic campsites, boat ramp, dump station, group campground, group picnic area, laundry, picnic sites, showers","biking, boating, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting (waterfowl), ice fishing, ice skating, jet skiing, ranger/ nature programs, sail/paddle sports, swimming, water skiing, wildlife/bird viewing, winter camping",
Jackson Lake,26363 County Road 3,Orchard,80649,dnr_jackson.lake@state.co.us,"Waterfowl hunting used to be the main attraction at Jackson Lake…but then water sports took off. Now warm summer days find jet and water skiers, sailboarders and boaters of all kinds enjoying the lake. The swim beach was ranked among the “Top 15 Park Beaches” by Reserve America. Walleye, saugeye, catfish, perch, rainbow trout, crappie and wipers will keep anglers busy, even in winter. Hunters will find waterfowl, pheasant, upland bird and archery deer hunting. There’s an OHV track and two geocaching sites. The year-round campgrounds have 241 sites, accommodating campers, trailers or tents, as well as primitive campsites. Birdwatchers will discover a variety of birds attracted to this cottonwoodlined reservoir on the Eastern Plains, including bald eagles, hawks, herons and grassland and riparian songbirds. Rafts of American white pelicans are common in summer. The park’s location on the Central Flyway means lots of migrating waterfowl and shore and wading birds, even long-billed curlews and an occasional whooping crane. Any time of year wildlife watchers might see white-tailed or mule deer, coyotes, red foxes, cottontails, jackrabbits and tree and ground squirrels. Visitors can discover several trails or wander along the lake edge. The quieter winter months are great for wildlife discovery, photography, ice fishing and winter camping",http://cpw.state.co.us/placestogo/parks/jacksonlake,"visitor center, boat ramp, boat rental, campsites with electric, dump station, group campground, group picnic area, jet ski rental, laundry, marina, mooring/docking, picnic sites, shower","biking, boating, cross-country skiing/snowshoeing, fishing, hiking, hunting, ice fishing, ice skating, jet skiing, OHV, ranger/ nature programs, sail/paddle sports, swimming, water skiing, wildlife/bird viewing, winter camping",
Colorado River Connected Lakes Section,610 Dike Road,Clifton,81520,colorado.river.park@state.co.us,"A string of pearls. That’s what the five sections of this park are like, strung along the Colorado River corridor. One of America’s greatest rivers is the attraction here, and each pearl offers separate access and has its own diversions and its own trails. Connected Lakes is a day-use area where visitors can picnic, fish, hike, watch wildlife, boat and access the river. Five miles of trails wind around its three lakes. Only hand-propelled or sail watercraft and boats with electric motors are permitted on the lakes. Visitors can raft, tube and canoe on the river or obtain trips, lessons and equipment rental from area outfitters.",http://cpw.state.co.us/placestogo/Parks/jamesmrobbcoloradoriver,"boat ramp, picnic sites","biking, boating, fishing, hiking, geocaching, ice fishing, ice skating, ranger/nature programs, sail/ paddle sports, wildlife/bird viewing",
Colorado River Corn Lake Section,361 32 Rd,Clifton,81520,colorado.river.park@state.co.us,"Corn Lake is a day-use only area, with riverfront trail access, fishing, picnicking and river access for boating and rafting",http://cpw.state.co.us/placestogo/Parks/jamesmrobbcoloradoriver,"boat ramp, picnic sites","biking, boating, fishing, hiking, horseback trails, hunting, geocaching, ice fishing, ice skating, ranger/ nature programs, wildlife viewing",
Colorado River Fruita Section,595 Highway 340,Fruita,81521,colorado.river.park@state.co.us,"Fruita, with wonderful views of Colorado National Monument and the Book Cliffs, is a great spot for camping, fishing, boating, bird watching and hiking or biking the river trail. Camping is available at Island Acres and Fruita and reservations are recommended on summer weekends. Only hand-propelled or sail watercraft and boats with electric motors are permitted on the lakes at Island Acres, Corn Lake, Connected Lakes and Fruita.",http://cpw.state.co.us/placestogo/Parks/jamesmrobbcoloradoriver,"visitor center, basic campsites, boat ramp, campsites with electric, dump station, full-hookup campsites, group campground, group picnic area, laundry, picnic sites, shower","biking, boating, fishing, geocaching, hiking, ice fishing, ice skating, ranger/nature programs, sail/paddle sports, wildlife viewing",
Colorado River Island Acres Section,"Exit 47 off of I-70, East of Palisade",Fruita,81521,colorado.river.park@state.co.us,"Island Acres with its four lakes is a scenic place for swimming, fishing, picnicking and hiking. Camping is available at Island Acres and Fruita and reservations are recommended on summer weekends. Only hand-propelled or sail watercraft and boats with electric motors are permitted on the lakes at Island Acres, Corn Lake, Connected Lakes and Fruita.",http://cpw.state.co.us/placestogo/Parks/jamesmrobbcoloradoriver,"basic campsites, campsites with electric, dump station, full-hookup campsites, group picnic area, laundry, picnic sites, shower","biking, boating, fishing, geocaching, hiking, ice fishing, ice skating, ranger/nature programs, sail/paddle sports, swimming, wildlife viewing",
Colorado River State Wildlife Area and Pear Park Section,P.O. Box 700,Clifton,81520,colorado.river.park@state.co.us,"The many small lakes of the Colorado River State Wildlife Area and Pear Park are critical habitat for endangered Colorado River fishes. Boating is not allowed and fishing is restricted, making it a quiet place for hiking and nature observation.",http://cpw.state.co.us/placestogo/Parks/jamesmrobbcoloradoriver,,"biking, fishing, geocaching, hiking, horseback trails, wildlife/bird viewing",
John Marin Reservoir,30703 County Road 24,Hasty,81044,john.martin.park@state.co.us,"The treasure of water on the dry Eastern Plains…that’s what attracts birds, wildlife and people to John Martin Reservoir. Built along the Arkansas River, this large reservoir is a mecca for birdwatchers and a major site along the Colorado Birding Trail. Nearly 400 species have been documented on the water, along the shore and in surrounding woodlands and grassy uplands. Least terns and piping plovers, two federally protected species, nest here in spring and summer. Boating, swimming, water skiing and wind-water sports of all kinds are offered on this large lake, and its campground is a popular weekend destination. Whether from boat or shore, anglers can catch walleye, saugeye, bass, wiper, crappie, perch and catfish. Away from the water, visitors can seek out six geocache locations, and hike, bike or ride horses through prairie grasses or cottonwood groves. The park is closed to hunting but the campground makes a good base camp for hunting in the adjacent John Martin State Wildlife Area.",http://cpw.state.co.us/placestogo/Parks/JohnMartinReservoir,"visitor center, basic campsites, boat ramp, campsites with electric, dump station, group campground, group picnic area, laundry, picnic sites, showers","biking, boating, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, ice fishing, ice skating, jet skiing ranger/nature programs, sail/paddle sports, swimming, water skiing, wildlife/bird viewing, winter camping",
Lake Pueblo,640 Pueblo Reservoir Road,Pueblo,81005,lake.pueblo.park@state.co.us,"Boating, fishing, water sports, abundant nature, a mild climate and a stunning setting where the mountains meet the plains make Lake Pueblo among the top destinations in the state. Located along the Arkansas River with 4,600 water acres surrounded by 12,000 acres of land, the park offers a nearly endless list of outdoor recreation. There’s sailing and sailboarding, power boating, jet and water skiing. Kayakers, rafters and tubers can enjoy the Arkansas River below the dam, as well as the tailwaters. The lake is a prime fishing spot offering large-and smallmouth bass, walleye, saugeye, wiper, catfish and trout. On land there’s bird watching, picnicking and small-game and waterfowl hunting. Various trails, both paved and natural and from easy to challenging, beckon hikers and mountain bikers of all skill levels. The paved Pueblo River Trail connects the park to the city of Pueblo for easy access. Two marinas and boat ramps and three campgrounds with 400 campsites, both basic and full-hookup, serve visitors seasonally. Swimming is allowed only at the Rock Canyon Swim Beach, open Memorial Day through Labor Day",http://cpw.state.co.us/placestogo/Parks/lakepueblo,"visitor center, basic campsites, boat ramp, boat rental, campsites with electric, dump station, fish-cleaning station, group picnic area, marina, picnic sites, shower","biking, boating, fishing, hiking, horseback trails, hunting, jet skiing, ranger/nature programs, sail/paddle sports, swimming, wildlife/bird viewing, water skiing, winter camping",
Lathrop,70 County Road 502,Walsenburg,81089,lathrop.park@state.co.us,"Nestled beneath the Spanish Peaks, this park lies at a crossroads of early Colorado history. Rising high above the prairie, the two peaks were prominent landmarks for Native Americans, settlers, trappers and explorers. Lathrop was established in 1962 as Colorado’s first state park. Stocked with trout, catfish, muskie, bass, walleye, bluegill and crappie, its two lakes offer great fishing. Kids will enjoy the youth fishing pond. Martin Lake is the place for jet and water skiing and power boating as well as sailing and sailboarding. Swimmers enjoy its warm waters from the swim beach. Designated a wakeless lake, Horseshoe Lake beckons to canoeists, kayakers, sailors and other low-speed boaters. Not interested in the water? Bring your clubs. Lathrop’s nine-hole golf course is the only course in a Colorado state park. There’s also an archery practice range, 13 geocache sites and an equestrian trail. Hikers will enjoy fine views of the Spanish Peaks, Greenhorn Mountain and Pikes Peak from park trails. The Hogback Trail is hikers only, but cyclists can tackle the Cuerno Verde Trail. Picnicking is big here, with every table located lakeside! Lathrop has 103 campsites offering basic or improved camping. Bird and wildlife watchers can see a variety of species in the park’s wetland, riparian, grassland and piñon-juniper habitats. Waterfowl and small-game hunting are allowed in posted areas.",http://cpw.state.co.us/placestogo/Parks/lathrop,"visitor center, archery range, basic campsites, boat ramp, dump station, campsites with electric, group campground, group picnic area, picnic sites, shower","biking, boating, fishing, hiking, horseback trails, hunting, jet skiing, ranger/nature programs, sail/paddle sports, swimming, water skiing, wildlife/ bird viewing, winter camping",
Lory,708 Lodgepole Drive,Bellvue,80512,lory.park@state.co.us,"Shadowed pine forests, grassy meadows, sunny slopes grown with shrubs. Unique rock formations, sandstone hogbacks…and trails threading around and through them all. This 2,591-acre foothills gem is the place in the northern Front Range to get out and discover what outdoor recreation is all about. At Lory you can hit the trail for mountain biking, hiking and horseback riding, enjoy one of five picnic areas or discover a secluded spot all your own. Adjacent to Horsetooth Reservoir, Lory’s rolling valleys and mountainous hillsides offer nearly 26 miles of trails whose grades rarely exceed 12 percent. From easy to difficult, and short, long and in between, the trails wind through granite-walled arroyos with rushing streams, pine-scented forests and meadows blooming with wildflowers. Some trails are closed to bikes and horses. The Corral Center Mountain Bike Park provides nearly 70,000 square feet of riding terrain with dirt jumps, a pump track and a skills area. Rock climbers will find both bouldering and traditional climbing. There is only primitive, backcountry camping in the park. Winter has opportunities for snowshoeing and cross-country skiing. If a quieter outing is more your style, the birds, wildlife and plants of the Colorado foothills found at Lory let you enjoy nature, just minutes from Fort Collins.",http://cpw.state.co.us/placestogo/Parks/lory,"visitor center, group picnic area, picnic sites, primitive camping","biking, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting, ranger/ nature programs, rock climbing, snow tubing, wildlife viewing, winter camping",
